JournalName,Count
advancesinneuralinformationprocessingsystems,1
appliedsoftcomputing,1
artificialintelligence,2
biometricsbulletin,1
dataminingandknowledgediscovery,1
engineeringapplicationsofartificialintelligence,2
heuristics,1
informationsciences,2
intelligentdecisiontechnologies,1
journalofmachinelearningresearch,2
journaloftheamericanstatisticalassociation,1
knowledgeandinformationsystems,1
machinelearning,1
neuralinformationprocessingsystems,1
patternrecognition,3
proceedingsoftheieeecomputersocietyconferenceoncomputervisionandpatternrecognition,1
sigkddexplorations,1
studiesincomputationalintelligence,1
swarmandevolutionarycomputation,1
theknowledgeengineeringreview,1
