Datasets,MIRSVM,miGraph,MIBoost,MIOptimalBall,MIDD,MIWrapper,MISMO,MISVM,SimpleMI,TLC,Bagging,Stacking
suramin,0.632,0.682926829268293,0,0.45,-0.15,0,0.45,0,0,0.2,0.33,-0.0963855421686747
eastWest,0.6,0.4,0,0.45,0.225,0,0.425,0.125,0,0.2,0.2,-0.1
westEast,0.4,0.5,0,-0.25,-0.1,0,0.475,-0.175,0,0.125,0.752902700545212,0.275
musk1,0.8036,0.629032258064516,0,0.539561487130601,0.760416666666667,0,0.564187588820464,0.519696250593261,0,0.717391304347826,0.374373846559452,0.717391304347826
musk2,0.6263,0.412264995523724,0,0.503101604278075,0.403878583473862,0,0.361298482293423,0.385567442836165,0,0.249217527386541,0.385839299920446,0.294005507307774
webmining,0.3468,0,0,0.0245683930942895,0,0,0.453519613111231,0.377067254685777,0,0.374373846559452,0.694513745983127,0.245752427184466
trx,0.4542,0.337452797802952,0,0.522836694860117,0.422381262199089,0,0,0,0,0.385839299920446,0.29,0.336355110972179
mutagenesis-atoms,0.5395,0.443127962085308,0,0.170879410215903,0.265416311452117,0,0.2909351020939,0,0,0.473810475809676,0.473810475809676,0.443127962085308
mutagenesis-bonds,0.5699,0.507014553559722,0,0.31309058838352,0.435632504886903,0,0.556878799156432,0,0,0.619482893705928,0.619482893705928,0.665876777251185
mutagenesis-chains,0.6303,0.509368308351178,0,0.235872558017569,0.473810475809676,0,0.622538860103627,0,0,0.639063099961602,0.639063099961602,0.628505864354921
tiger,0.55,0.59,0,0,0.42,0,0.44,0.51,0,0.33,0.6,0.45
elephant,0.7,0.66,0,0,0.58,0,0.62,0.6,0,0.6,0.125,0.65
fox,0.31,0.26,0,0,0.16,0,0.05,-0.05,0,0.29,0.717391304347826,0.3
component,0.6644,0.579524151824504,0,0.161330743193989,0.283552862588787,0,0.365554608654398,0.0675350633760341,0,0.694513745983127,0.2,0.690591891164452
function,0.6292,0.583795682479254,0,0.0966100725568769,0.280111033553561,0,0.408347651765603,0.0933241741802052,0,0.752902700545212,0.249217527386541,0.75072525309958
