Datasets,MIRSVM,miGraph,MIBoost,MIOptimalBall,MIDD,MIWrapper,MISMO,MISVM,SimpleMI,TLC,Bagging,Stacking
suramin,1,1,0,0.45,0.1,0,0.45,0.5,0,0.45,0.71,0.333333333333333
eastWest,1,0.7,0.7,0.525,0.75,0.7,0.65,0.125,1,0.575,0.575,0.4
westEast,0.8,0.8,0.9,0.15,0.575,0.9,0.85,0.225,1,0.6,0.989164409251928,0.8
musk1,0.9787,0.893617021276596,0,0.577777777777778,0.844444444444444,0,0.733333333333333,0.666666666666667,0,0.866666666666667,0.891304347826087,0.866666666666667
musk2,0.925,0.461538461538462,1,0.870967741935484,0.806451612903226,1,0.790322580645161,0.790322580645161,1,0.596774193548387,0.946428571428571,0.774193548387097
webmining,0.2857,0,1,0.923913043478261,1,1,0.91304347826087,0.619565217391304,1,0.891304347826087,0.981529368304396,0.923913043478261
trx,0.4833,0.24,1,0.958333333333333,0.946428571428571,1,1,1,1,0.946428571428571,0.56,0.976190476190476
mutagenesis-atoms,0.888,0.856,0,0.396825396825397,0.349206349206349,0,0.492063492063492,0,0,0.571428571428571,0.571428571428571,0.571428571428571
mutagenesis-bonds,0.896,0.872,0,0.555555555555556,0.476190476190476,0,0.746031746031746,0,0,0.698412698412698,0.698412698412698,0.714285714285714
mutagenesis-chains,0.912,0.896,0,0.444444444444444,0.571428571428571,0,0.714285714285714,0,0,0.746031746031746,0.746031746031746,0.746031746031746
tiger,0.87,0.93,0.5,1,0.75,0.5,0.67,0.71,1,0.71,0.8,0.71
elephant,0.91,0.77,0.6,1,0.78,0.6,0.76,0.86,1,0.8,0.6,0.82
fox,0.9,0.64,0.7,1,0.56,0.7,0.46,0.83,1,0.56,0.866666666666667,0.59
component,0.5839,0.522458628841608,1,0.986701145179165,0.979682305134836,1,0.996675286294791,1,1,0.981529368304396,0.45,0.982637606206132
function,0.5327,0.564334085778781,1,0.991873306938946,0.983954990623046,1,0.998332986038758,0.999374869764534,1,0.989164409251928,0.596774193548387,0.989372785997083
