"","nemenyi","holm","shaf"
"miGraph",0.996088076523888,1,0.996088076523888
"MIBoost",3.40837946111172e-06,3.74921740722289e-05,0.000187460870361145
"MIOptimalBall",0.00268264480190816,0.0187785136133571,0.120719016085867
"MIDD",0.0734201392286268,0.440520835371761,1
"MIWrapper",3.40837946111172e-06,3.74921740722289e-05,0.000187460870361145
"MISMO",0.621780101780515,1,1
"MISVM",0.000200337839052045,0.00160270271241636,0.00901520275734202
"SimpleMI",3.40837946111172e-06,3.74921740722289e-05,0.000187460870361145
"TLC",0.858626797031714,1,1
"Bagging",0.791049424136582,1,1
"Stacking",0.603354843596654,1,1
