"","nemenyi","holm","shaf"
"miGraph",0.996835773133711,1,0.996835773133711
"MIBoost",1.92425624645498e-06,2.11668187110048e-05,0.000105834093555024
"MIOptimalBall",0.0848540935206079,0.593978654644255,1
"MIDD",0.165003742199422,0.990022453196534,1
"MIWrapper",1.92425624645498e-06,2.11668187110048e-05,0.000105834093555024
"MISMO",0.8703930231907,1,1
"MISVM",0.00268264480190816,0.0214611584152653,0.120719016085867
"SimpleMI",1.92425624645498e-06,2.11668187110048e-05,0.000105834093555024
"TLC",0.99414901340834,1,1
"Bagging",0.996088076523888,1,1
"Stacking",0.920062905151638,1,1
