"","nemenyi","holm","shaf"
"miGraph",0.965235072527669,1,0.965235072527669
"MIBoost",2.39932340440063e-07,2.6392557448407e-06,1.31962787242035e-05
"MIOptimalBall",0.0240488598221568,0.168342018755097,0.8898078134198
"MIDD",0.0632871611748563,0.379722967049138,1
"MIWrapper",2.39932340440063e-07,2.6392557448407e-06,1.31962787242035e-05
"MISMO",0.621780101780515,1,1
"MISVM",0.000363642731833314,0.00290914185466651,0.0163639229324991
"SimpleMI",2.39932340440063e-07,2.6392557448407e-06,1.31962787242035e-05
"TLC",0.949099916804456,1,1
"Bagging",0.949099916804456,1,1
"Stacking",0.675974230641968,1,1
