"","nemenyi","holm","shaf"
"miGraph",0.11203848527019,0.44815394108076,0.11203848527019
"MIBoost",0.999972665323877,1,1
"MIOptimalBall",0.00976472723777433,0.0683530906644203,0.36129490779765
"MIDD",1.53248824741326e-09,1.68573707215458e-08,6.89619711335965e-08
"MIWrapper",0.928182729625549,1,1
"MISMO",0.000122806789371266,0.000982454314970127,0.00552630552170696
"MISVM",1.51098883405254e-07,1.51098883405254e-06,6.79944975323643e-06
"SimpleMI",0.999999988215064,1,1
"TLC",0.00976472723777433,0.0683530906644203,0.36129490779765
"Bagging",0.0632871611748563,0.316435805874282,1
"Stacking",1.2448215955807e-06,1.12033943602263e-05,5.60169718011316e-05
