Dataset, 					C, 		Sigma, Iter, Accuracy, Precision, Recall, Kappa, AUC
eastWest, 					1.0000, 0.5000, 5, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
elephant, 					0.1000, 0.5000, 6, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
fox, 						0.1000, 0.5000, 5, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
musk1, 						0.1000, 5.0000, 7, 0.9348, 0.9184, 0.9574, 0.8694, 0.9343
musk2, 						1.0000, 1.0000, 5, 0.9406, 1.0000, 0.8462, 0.8710, 0.9231
mutagenesis-atoms, 			0.1000, 0.1000, 16, 0.7713, 0.7929, 0.8880, 0.4545, 0.7138
mutagenesis-bonds, 			1.0000, 0.5000, 14, 0.7713, 0.7628, 0.9520, 0.4154, 0.6823
mutagenesis-chains, 		100.00, 0.0500, 187, 0.7606, 0.7703, 0.9120, 0.4094, 0.6862
suramin, 					0.1000, 10.000, 12, 0.5385, 0.5385, 1.0000, 0.0000, 0.5000
tiger, 						0.1000, 1.0000, 10, 0.9500, 1.0000, 0.9000, 0.9000, 0.9500
trx, 						1.0000, 0.1000, 10, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
westEast, 					0.1000, 0.1000, 4, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
